step	recall(B)
0	0.85
1	0.92276
2	0.85
3	0.85
4	0.85
5	0.85
6	0.85363
7	0.85872
8	0.86667
9	0.86667
10	0.86445
11	0.85114
12	0.86667
13	0.86667
14	0.86667
15	0.86667
16	0.65
17	0.65
18	0.65
19	0.65
20	0.7
21	0.7
22	0.7
23	0.7
24	0.7
25	0.7
26	0.7
27	0.7
28	0.7
29	0.7
30	0.7
31	0.7
32	0.7
33	0.7
34	0.7
35	0.7
36	0.7
37	0.7
38	0.7
39	0.7
40	0.7
41	0.7
42	0.53131
43	0.53131
44	0.55485
45	0.55485
46	0.48694
47	0.48694
48	0.48333
49	0.48333
50	0.48333
51	0.48333
52	0.48333
53	0.48333
54	0.48333
55	0.48333
56	0.48333
57	0.48333
58	0.48333
59	0.49689
60	0.49689
61	0.49689
62	0.49514
63	0.49514
64	0.49514
65	0.49476
66	0.49476
67	0.49476
68	0.49604
69	0.49604
70	0.49604
71	0.4942
72	0.4942
73	0.4942
74	0.49167
75	0.49167
76	0.49167
77	0.48962
78	0.48962
79	0.48962
80	0.48905
81	0.48905
82	0.48905
83	0.47739
84	0.47739
85	0.47739
86	0.47739
87	0.46938
88	0.46938
89	0.46938
90	0.46938
91	0.46479
92	0.46479
93	0.46479
94	0.46479
95	0.48333
96	0.48333
97	0.48333
98	0.48333
99	0.4649
