step	box_loss
0	0.9675
1	1.24971
2	1.35245
3	1.02748
4	1.34087
5	0.94159
6	1.42084
7	1.44764
8	1.38618
9	1.30882
10	1.08323
11	1.35871
12	0.9965
13	1.21888
14	1.20705
15	1.04901
16	1.08411
17	0.84491
18	1.04748
19	1.20846
20	1.08256
21	1.00726
22	0.92162
23	0.78543
24	0.65881
25	1.17937
26	0.97514
27	1.03995
28	1.15989
29	0.7438
30	1.29304
31	0.95537
32	0.80535
33	1.22332
34	0.70218
35	0.76031
36	1.14153
37	0.81027
38	0.55666
39	0.8684
40	0.7833
41	0.91297
42	0.62186
43	0.99057
44	0.79979
45	0.87035
46	1.21937
47	0.91016
48	0.74585
49	0.80439
50	0.85267
51	0.76866
52	0.77648
53	0.73982
54	0.66059
55	0.86866
56	0.73085
57	0.81847
58	0.99212
59	0.77542
60	0.73486
61	0.56482
62	0.8963
63	0.80765
64	0.69867
65	0.79378
66	0.82846
67	0.81233
68	0.85053
69	0.6738
70	0.70823
71	0.54083
72	0.79164
73	0.6578
74	0.76656
75	0.63486
76	0.7241
77	0.81088
78	0.71671
79	0.62067
80	0.92312
81	0.83272
82	0.77798
83	0.70566
84	0.96491
85	0.75851
86	1.16914
87	0.66911
88	0.68066
89	0.81878
90	0.51637
91	0.48152
92	0.58957
93	0.58325
94	0.64112
95	0.62738
96	0.60352
97	0.57056
98	0.50164
99	0.47862
