step	cls_loss
0	2.35437
1	3.26326
2	3.63905
3	2.75632
4	2.99867
5	2.28653
6	3.88218
7	3.99641
8	2.87904
9	2.48433
10	1.68674
11	2.79667
12	2.46985
13	2.15492
14	2.85795
15	2.14361
16	2.74718
17	2.41691
18	1.71539
19	2.49015
20	2.40224
21	2.45152
22	1.97192
23	1.53104
24	1.54377
25	1.87493
26	1.56008
27	1.46087
28	1.85304
29	1.72979
30	1.6326
31	2.17259
32	1.12697
33	1.60599
34	1.13065
35	1.70075
36	1.65725
37	1.47615
38	0.96912
39	1.04577
40	0.98783
41	1.29191
42	1.13511
43	2.1984
44	1.30861
45	1.39066
46	1.56598
47	0.78957
48	0.9889
49	1.02069
50	0.97696
51	1.56209
52	0.86028
53	0.86178
54	1.22884
55	0.98288
56	0.71622
57	0.62898
58	0.93742
59	1.18923
60	0.85668
61	0.66386
62	1.50725
63	0.82433
64	0.81093
65	1.46593
66	1.29777
67	0.99979
68	0.89127
69	0.66384
70	0.70168
71	0.70276
72	0.74555
73	0.68038
74	0.64958
75	0.6502
76	0.80277
77	1.01016
78	0.87885
79	0.60951
80	1.39496
81	0.63068
82	0.89979
83	0.79995
84	2.00719
85	1.11505
86	1.6264
87	0.84399
88	0.71946
89	0.78833
90	0.50769
91	0.48082
92	0.51199
93	0.53173
94	0.59707
95	0.50951
96	0.53584
97	0.54965
98	0.49478
99	0.47439
